Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y
154,1.540010,-0.0332233831,0.00636227429,67,0,0,-0.101012267,0.392461658
155,1.549999,-0.00928136706,0.0446695015,67,0,0,-0.101012267,0.392461658
156,1.559994,0.0122664478,-0.00560873421,70,0,0,-0.101012267,0.392461658
157,1.569999,-0.0260407794,-0.0271565504,70,0,0,-0.101012267,0.392461658
158,1.579998,-0.0188581739,-0.0151855415,68,0,0,-0.101012267,0.392461658
159,1.590014,-0.00688716583,0.0183332823,68,0,0,-0.101012267,0.392461658
160,1.600019,-0.0284349807,-0.00321453251,69,0,0,-0.101012267,0.392461658
161,1.610012,-0.00209876243,0.049457904,69,0,0,-0.101012267,0.392461658
162,1.620018,0.0146606499,-0.0223681461,67,0,0,-0.101012267,0.392461658
163,1.629992,0.0170548521,0.00396807259,67,0,0,-0.101012267,0.392461658
164,1.640013,-0.0236465782,0.0183332823,70,0,0,-0.101012267,0.392461658
165,1.650017,-0.0308291819,0.00636227429,70,0,0,-0.101012267,0.392461658
166,1.659991,-0.0571654029,0.0111506777,69,0,0,-0.101012267,0.392461658
167,1.669990,0.0409968682,0.00636227429,69,0,0,-0.101012267,0.392461658
168,1.679978,0.0338142626,0.0279100891,68,20,0,-0.100930661,0.392461658
169,1.690015,0.00747804437,0.0111506777,68,20,0,-0.100794651,0.392461658
170,1.699992,0.0170548521,-0.0319449529,68,-20,-20,-0.100821853,0.392380029
171,1.709998,-0.0188581739,0.00636227429,68,-20,-20,-0.100957863,0.392243981
172,1.720011,-0.00449296413,-0.0103971381,68,0,0,-0.101012267,0.392189562
173,1.729997,0.00987224653,0.00875647552,68,0,0,-0.101012267,0.392189562
174,1.739993,0.00268964097,-0.0151855415,68,0,20,-0.101012267,0.392271191
175,1.750020,0.00508384267,-0.00800293591,68,0,20,-0.101012267,0.392407238
176,1.760019,0.000295439298,0.00157387089,68,0,0,-0.101012267,0.392461658
177,1.770016,0.00987224653,0.0183332823,68,0,0,-0.101012267,0.392461658
178,1.779999,-0.0164639726,0.00396807259,68,-20,0,-0.101093873,0.392461658
179,1.789993,0.0218432546,-0.00560873421,68,-20,0,-0.101229884,0.392461658
180,1.799991,0.0362084657,-0.0175797436,67,20,20,-0.101203889,0.392542034
181,1.809995,0.00508384267,0.0422752984,67,20,20,-0.10106989,0.392675996
182,1.820015,-0.0308291819,-0.00560873421,68,-20,-20,-0.101097897,0.392647952
183,1.830011,0.0601504818,-0.0151855415,68,-20,-20,-0.101233907,0.392511904
184,1.840016,-0.00688716583,-0.0127913393,68,0,0,-0.101288311,0.392457485
185,1.850014,-0.0140697705,0.00875647552,68,0,0,-0.101288311,0.392457485
186,1.860017,-0.00449296413,0.00875647552,68,0,0,-0.101288311,0.392457485
187,1.870012,0.0338142626,-0.0223681461,68,0,0,-0.101288311,0.392457485
188,1.879993,0.0194490533,0.00157387089,68,-20,-20,-0.101369917,0.392375857
189,1.890004,0.0194490533,-0.0439159609,68,-20,-20,-0.101505928,0.392239809
190,1.900043,0.0146606499,0.0207274836,68,0,-20,-0.101560332,0.392103761
191,1.910018,-0.0236465782,-0.0127913393,68,0,-20,-0.101560332,0.391967714
192,1.920014,-0.0356175862,-0.00560873421,68,20,0,-0.101505928,0.391913295
193,1.930020,0.0266316589,-0.0151855415,68,20,0,-0.101369917,0.391913295
194,1.939994,0.00747804437,-0.00082033081,67,0,20,-0.101288311,0.391966879
195,1.949994,-0.00449296413,-0.00560873421,67,0,20,-0.101288311,0.392100841
196,1.960015,0.00987224653,-0.0367333554,68,0,0,-0.101288311,0.392181218
197,1.970015,0.0170548521,-0.0247623473,68,0,0,-0.101288311,0.392181218
198,1.980020,-0.0140697705,-0.00321453251,68,0,0,-0.101288311,0.392181218
199,1.989994,-0.0116755692,0.0111506777,68,0,0,-0.101288311,0.392181218
200,2.000010,-0.0140697705,0.0303042904,68,-20,0,-0.101342715,0.392181218
201,2.009999,-0.0140697705,-0.0127913393,68,-20,0,-0.101478726,0.392181218
202,2.020013,0.0146606499,-0.0175797436,68,-20,-20,-0.101614736,0.392126799
203,2.029990,-0.00928136706,-0.0103971381,68,-20,-20,-0.101750746,0.391990751
204,2.039996,0.0242374558,0.00157387089,69,20,0,-0.101777159,0.391909122
205,2.049994,-0.0308291819,-0.0247623473,69,20,0,-0.101639174,0.391909122
206,2.060019,-0.0116755692,0.0303042904,71,0,0,-0.101556383,0.391909122
207,2.069994,-0.0140697705,-0.00560873421,71,0,0,-0.101556383,0.391909122
208,2.079999,-0.0116755692,-0.00321453251,70,0,0,-0.101556383,0.391909122
209,2.090014,0.00987224653,-0.0103971381,70,0,0,-0.101556383,0.391909122
210,2.099992,-0.0116755692,0.0159390811,71,20,0,-0.10149958,0.391909122
211,2.109993,-0.00449296413,-0.0151855415,71,20,0,-0.101357572,0.391909122
212,2.120010,-0.0116755692,-0.0199739449,68,0,0,-0.101272367,0.391909122
213,2.129996,-0.0236465782,-0.0487043634,68,0,0,-0.101272367,0.391909122
214,2.139990,-0.00688716583,-0.0175797436,68,0,0,-0.101272367,0.391909122
215,2.149990,-0.0116755692,-0.0103971381,68,0,0,-0.101272367,0.391909122
216,2.160021,0.0170548521,0.0446695015,68,0,20,-0.101272367,0.391963542
217,2.170012,-0.0140697705,-0.0175797436,68,0,20,-0.101272367,0.392099589
218,2.179990,-0.0451943912,0.0279100891,68,40,0,-0.101163574,0.392181218
219,2.189995,-0.0116755692,0.0183332823,68,40,0,-0.10089159,0.392181218
220,2.199990,0.0170548521,0.0159390811,69,0,0,-0.1007284,0.392181218
221,2.209997,-0.00209876243,0.0159390811,69,0,0,-0.1007284,0.392181218
222,2.220018,0.0122664478,-0.0247623473,69,0,0,-0.1007284,0.392181218
223,2.229996,-0.00928136706,-0.00082033081,69,0,0,-0.1007284,0.392181218
224,2.239994,-0.0164639726,-0.0151855415,68,0,0,-0.1007284,0.392181218
225,2.249992,0.0170548521,0.00157387089,68,0,0,-0.1007284,0.392181218
226,2.259994,0.0266316589,0.00875647552,70,0,0,-0.1007284,0.392181218
227,2.269990,-0.0140697705,-0.0487043634,70,0,0,-0.1007284,0.392181218
228,2.280018,-0.00688716583,-0.00560873421,69,0,0,-0.1007284,0.392181218
229,2.290019,0.00747804437,0.00396807259,69,0,0,-0.1007284,0.392181218
230,2.300019,-0.00209876243,-0.046310164,71,0,0,-0.1007284,0.392181218
